Name,Rating,Rating count,Link,Country,Genre,Director,Year,Time (min)
1+1,8.3,558254,https://www.kinopoisk.ru/film/535341/,Франция ,драма, Оливье Накаш,2011,112
Интерстеллар,8.2,105607,https://www.kinopoisk.ru/film/258687/,США ,фантастика, Кристофер Нолан,2014,169
Зеленая миля,8.1,90056,https://www.kinopoisk.ru/film/435/,США ,драма, Фрэнк Дарабонт,1999,189
Побег из Шоушенка,8.1,89611,https://www.kinopoisk.ru/film/326/,США ,драма, Фрэнк Дарабонт,1994,142
Бойцовский клуб,8.1,198488,https://www.kinopoisk.ru/film/361/,США ,триллер, Дэвид Финчер,1999,139
Остров проклятых,8.1,204318,https://www.kinopoisk.ru/film/397667/,США ,триллер, Мартин Скорсезе,2009,138
Форрест Гамп,8.1,79051,https://www.kinopoisk.ru/film/448/,США ,драма, Роберт Земекис,1994,142
Властелин колец: Возвращение короля,8.0,40202,https://www.kinopoisk.ru/film/3498/,Новая Зеландия ,фэнтези, Питер Джексон,2003,201
Леон,8.0,176086,https://www.kinopoisk.ru/film/389/,Франция ,боевик, Люк Бессон,1994,133
Начало,8.0,65414,https://www.kinopoisk.ru/film/447301/,США ,фантастика, Кристофер Нолан,2010,148
Унесённые призраками,8.0,88752,https://www.kinopoisk.ru/film/370/,Япония ,аниме, Хаяо Миядзаки,2001,125
Властелин колец: Братство Кольца,8.0,49629,https://www.kinopoisk.ru/film/328/,Новая Зеландия ,фэнтези, Питер Джексон,2001,178
Терминатор 2: Судный день,7.9,132650,https://www.kinopoisk.ru/film/444/,США ,фантастика, Джеймс Кэмерон,1991,137
Властелин колец: Две крепости,7.9,36905,https://www.kinopoisk.ru/film/312/,Новая Зеландия ,фэнтези, Питер Джексон,2002,179
Криминальное чтиво,7.9,63915,https://www.kinopoisk.ru/film/342/,США ,криминал, Квентин Тарантино,1994,154
Зеленая книга,7.9,274744,https://www.kinopoisk.ru/film/1108577/,США ,биография, Питер Фаррелли,2018,130
Достучаться до небес,7.9,129801,https://www.kinopoisk.ru/film/32898/,Германия ,драма, Томас Ян,1997,87
Шрэк,7.9,162609,https://www.kinopoisk.ru/film/430/,США ,мультфильм, Эндрю Адамсон,2001,90
Темный рыцарь,7.8,48581,https://www.kinopoisk.ru/film/111543/,США ,фантастика, Кристофер Нолан,2008,152
Тайна Коко,7.8,83528,https://www.kinopoisk.ru/film/679486/,США ,мультфильм, Ли Анкрич,2017,105
Список Шиндлера,7.8,31834,https://www.kinopoisk.ru/film/329/,США ,драма, Стивен Спилберг,1993,195
Джентльмены,7.8,439660,https://www.kinopoisk.ru/film/1143242/,США ,криминал, Гай Ричи,2019,113
Волк с Уолл-стрит,7.8,284687,https://www.kinopoisk.ru/film/462682/,США ,драма, Мартин Скорсезе,2013,180
Большой куш,7.8,54549,https://www.kinopoisk.ru/film/526/,Великобритания ,криминал, Гай Ричи,2000,104
Иван Васильевич меняет профессию,7.7,160629,https://www.kinopoisk.ru/film/42664/,СССР ,комедия, Леонид Гайдай,1973,88
Гладиатор,7.7,58996,https://www.kinopoisk.ru/film/474/,США ,история, Ридли Скотт,2000,155
Брат,7.7,365180,https://www.kinopoisk.ru/film/41519/,Россия ,драма, Алексей Балабанов,1997,100
"Поймай меня, если сможешь",7.7,77310,https://www.kinopoisk.ru/film/324/,США ,криминал, Стивен Спилберг,2002,141
Назад в будущее,7.7,45487,https://www.kinopoisk.ru/film/476/,США ,фантастика, Роберт Земекис,1985,116
Брат 2,7.7,228372,https://www.kinopoisk.ru/film/41520/,Россия ,боевик, Алексей Балабанов,2000,127
Собачье сердце,7.7,66289,https://www.kinopoisk.ru/film/77335/,СССР ,драма, Владимир Бортко,1988,136
Шрэк 2,7.7,133336,https://www.kinopoisk.ru/film/5273/,США ,мультфильм, Эндрю Адамсон,2004,93
Титаник,7.7,79048,https://www.kinopoisk.ru/film/2213/,США ,мелодрама, Джеймс Кэмерон,1997,194
Гарри Поттер и философский камень,7.7,111709,https://www.kinopoisk.ru/film/689/,Великобритания ,фэнтези, Крис Коламбус,2001,152
Престиж,7.6,35523,https://www.kinopoisk.ru/film/195334/,Великобритания ,триллер, Кристофер Нолан,2006,130
Дюна: Часть вторая,7.6,143295,https://www.kinopoisk.ru/film/4540126/,США ,фантастика, Дени Вильнёв,2024,166
Джентльмены удачи,7.6,124771,https://www.kinopoisk.ru/film/44386/,СССР ,комедия, Александр Серый,1971,84
Гордость и предубеждение,7.6,141533,https://www.kinopoisk.ru/film/81733/,Великобритания ,драма, Джо Райт,2005,129
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,7.6,46105,https://www.kinopoisk.ru/film/77263/,СССР ,детектив, Игорь Масленников,1981,154
Одержимость,7.6,100189,https://www.kinopoisk.ru/film/725190/,США ,драма, Дэмьен Шазелл,2013,106
"Карты, деньги, два ствола",7.6,34005,https://www.kinopoisk.ru/film/522/,Великобритания ,боевик, Гай Ричи,1998,107
Операция «Ы» и другие приключения Шурика,7.6,159893,https://www.kinopoisk.ru/film/42782/,СССР ,комедия, Леонид Гайдай,1965,95
Матрица,7.6,48609,https://www.kinopoisk.ru/film/301/,США ,фантастика, Лана Вачовски,1999,136
Гарри Поттер и узник Азкабана,7.6,65962,https://www.kinopoisk.ru/film/322/,Великобритания ,фэнтези, Альфонсо Куарон,2004,142
Джанго освобожденный,7.6,53197,https://www.kinopoisk.ru/film/586397/,США ,вестерн, Квентин Тарантино,2012,165
Хатико: Самый верный друг,7.6,108414,https://www.kinopoisk.ru/film/387556/,США ,драма, Лассе Халльстрём,2008,89
Отступники,7.6,30748,https://www.kinopoisk.ru/film/81314/,США ,криминал, Мартин Скорсезе,2006,151
Малышка на миллион,7.6,64999,https://www.kinopoisk.ru/film/81297/,США ,драма, Клинт Иствуд,2004,132
